name,category_list,funding_total_usd,status,country_code,funding_rounds,dias_hasta_inversion
Alcyone Lifesciences,Biotechnology,6800004.0,operating,USA,3,817.0
Aldagen,Biotechnology,50653283.0,acquired,USA,6,
ALDEA Pharmaceuticals,Biotechnology,41997183.0,operating,USA,4,493.0
Alder Biopharmaceuticals,Biotechnology|Health Care|Therapeutics,105000000.0,ipo,USA,4,547.0
Aldera,Finance|Health Care,14000000.0,operating,USA,1,4173.0
Aldeyra Therapeutics,Health Care,7791560.0,ipo,USA,1,4046.0
Alector,Biotechnology,32000000.0,operating,USA,2,303.0
Aledade,Health Care|Hospitality,34500000.0,operating,USA,2,168.0
Alere,Hardware + Software|Health Care|Health Diagnostics|Pharmaceuticals,400000000.0,acquired,USA,1,10855.0
Alere Analytics,Biotechnology,5000000.0,operating,USA,1,4315.0
Alethia BioTherapeutics,Biotechnology,13900000.0,operating,CAN,2,3171.0
Alexar Therapeutics,Biotechnology,0.0,operating,USA,1,849.0
Alexion Pharmaceuticals,Biotechnology|Health and Wellness|Medical,31322.8138424199,ipo,USA,1,8492.0
Alexo Therapeutics,Biotechnology,18022500.0,operating,IRL,1,140.0
Alexza Pharmaceuticals,Biotechnology|Health Care,113730309.0,ipo,USA,5,
ALGAentis,Biotechnology|Medical,29000.0,operating,USA,1,770.0
Algaeon,Biotechnology,1345863.0,operating,USA,3,1814.0
Algaeventure Systems,Biotechnology|Clean Technology|Green|Pharmaceuticals,4486625.0,operating,USA,2,
Algenetix,Biotechnology,2000000.0,operating,USA,1,457.0
Algiax Pharmaceuticals,Biotechnology,5477340.0,operating,DEU,1,
Algisys,Biotechnology,6153863.0,operating,USA,1,1686.0
Algo Access Pte Ltd,Medical Devices,459389.0,operating,,1,
Algonomics,Biotechnology,2012351.3654922,acquired,BEL,1,
Align Networks,Health Care,0.0,operating,USA,1,
Align Technology,Hardware + Software|Health Care,72299357.0,ipo,USA,1,
Alimera Sciences,Biotechnology|Health Care|Medical|Pharmaceuticals,206050000.0,ipo,USA,7,555.0
Alios BioPharma,Biotechnology,73000000.0,acquired,USA,3,1138.0
Aliva Biopharmaceuticals,Bio-Pharm|Biotechnology|Health and Wellness|Health Care,12870407.0,operating,USA,1,
AlixaRx,Biotechnology,100000000.0,operating,USA,1,548.0
Alizé Pharma,Biotechnology,10562781.0,operating,FRA,2,1981.0
Alkermes,Biotechnology,250000000.0,acquired,USA,1,
Alkeus Pharmaceuticals,Biotechnology,100000.0,operating,USA,1,
All in One Medical,Health Care,4545754.0,operating,GBR,1,4073.0
